,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
488,mlp,0.001,0.7,1,9,22,30,45,45,4
489,lstm,1e-05,0.5,2,11,12,18,47,17,5
490,lstm,0.0001,0.6,2,10,6,7,12,31,5
491,lstm,0.001,0.9,4,19,2,20,11,9,5
492,mlp,0.001,0.6,5,5,44,49,45,11,2
493,lstm,1e-05,0.7,4,9,5,24,43,22,4
494,lstm,0.001,0.7,1,24,20,37,42,15,4
495,mlp,0.01,0.4,5,23,37,7,46,4,3
496,lstm,0.0001,0.5,3,32,12,20,3,50,4
497,lstm,1e-05,0.9,5,3,28,36,31,3,5
498,lstm,0.1,0.9,5,3,26,7,33,15,4
499,lstm,0.0001,0.7,5,22,14,2,10,32,5
500,mlp,0.0001,0.8,1,28,30,37,35,20,2
501,lstm,0.0001,0.2,3,14,7,31,25,9,4
502,lstm,0.01,0.9,3,12,12,23,7,15,4
503,lstm,0.0001,0.9,4,34,30,26,25,35,5
504,lstm,0.01,0.0,2,21,13,43,42,11,3
505,lstm,0.01,0.7,2,7,33,34,37,26,5
506,mlp,1e-05,0.8,4,32,19,32,10,44,3
507,mlp,0.1,0.4,5,10,30,15,11,26,5
508,lstm,0.001,0.3,2,20,39,45,38,33,4
509,lstm,1e-05,0.1,5,27,44,6,6,2,2
510,lstm,0.1,0.2,5,18,5,15,29,23,4
511,mlp,0.01,0.2,4,7,24,9,29,30,4
512,lstm,0.1,0.0,2,28,40,47,15,14,2
513,lstm,0.0001,0.8,1,22,46,41,20,44,4
514,lstm,0.0001,0.0,1,20,12,50,3,41,4
515,lstm,0.01,0.4,1,16,18,43,38,33,5
516,lstm,0.1,0.2,3,3,43,17,12,45,3
517,lstm,1e-05,0.9,4,8,2,14,38,25,3
518,mlp,0.1,0.1,3,16,26,21,36,10,4
519,lstm,0.001,0.8,1,21,35,8,50,15,5
520,mlp,0.1,0.0,4,32,43,2,20,46,5
521,mlp,0.001,0.2,2,32,37,14,35,49,3
522,lstm,0.0001,0.3,3,33,16,5,17,9,4
523,lstm,0.1,0.3,4,23,49,28,30,30,5
524,mlp,0.001,0.0,2,45,18,10,35,50,2
525,mlp,0.01,0.5,1,2,49,43,16,14,5
526,lstm,0.001,0.4,3,16,3,45,17,40,4
527,mlp,0.01,0.1,1,24,48,11,46,38,5
528,mlp,0.0001,0.1,2,40,24,5,7,17,3
529,lstm,0.0001,0.2,4,27,39,24,7,4,5
530,mlp,0.001,0.5,3,25,2,9,26,21,4
531,lstm,1e-05,0.7,3,5,33,22,47,29,5
532,lstm,0.01,0.8,1,27,18,14,22,14,2
533,lstm,0.0001,0.6,5,18,40,48,10,7,4
534,lstm,0.001,0.9,2,31,29,3,11,21,3
535,lstm,0.0001,0.0,4,34,49,33,35,48,2
536,mlp,0.1,0.4,4,31,8,43,36,29,5
537,lstm,0.001,0.9,1,20,18,22,34,3,3
538,lstm,0.01,0.5,1,12,21,49,28,35,3
