,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
488,lstm,0.001,0.7,4,45,39,32,45,45,2
489,mlp,1e-05,0.5,2,44,22,20,17,2,4
490,lstm,0.0001,0.9,1,44,42,36,25,22,2
491,lstm,0.0001,0.6,1,30,6,36,36,4,3
492,mlp,0.01,0.7,4,10,5,20,2,37,5
493,mlp,0.1,0.7,2,27,22,26,46,41,4
494,mlp,0.001,0.9,3,11,49,36,50,13,3
495,lstm,0.01,0.7,5,9,33,35,49,28,2
496,lstm,0.01,0.0,5,20,42,45,44,11,3
497,lstm,1e-05,0.9,5,30,49,2,29,26,2
498,lstm,0.01,0.9,1,15,47,42,22,41,3
499,mlp,0.001,0.7,3,16,16,29,13,34,2
500,mlp,0.1,0.9,4,40,36,43,9,15,3
501,mlp,0.0001,0.4,1,42,12,47,26,34,2
502,lstm,0.0001,0.5,3,4,22,14,32,32,4
503,mlp,0.01,0.3,1,35,4,23,19,3,4
504,mlp,1e-05,0.1,1,20,44,10,47,6,3
505,lstm,0.0001,0.8,2,30,47,48,37,18,4
506,lstm,0.0001,0.9,5,14,27,39,23,21,4
507,mlp,1e-05,0.9,2,43,42,9,29,3,5
508,mlp,0.1,0.5,4,41,10,45,38,44,2
509,mlp,0.01,0.6,2,12,36,40,9,13,4
510,lstm,0.001,0.5,3,35,12,48,20,49,3
511,mlp,1e-05,0.4,5,8,33,41,21,23,2
512,mlp,1e-05,0.5,4,14,48,17,20,35,2
513,mlp,0.001,0.1,5,34,3,27,38,13,5
514,lstm,1e-05,0.5,2,35,36,2,23,11,4
515,mlp,0.1,0.4,3,48,47,15,45,50,3
516,lstm,0.1,0.0,3,50,37,29,36,11,3
517,mlp,0.001,0.9,3,27,19,27,20,2,4
518,mlp,0.1,0.6,1,14,39,33,28,49,5
519,lstm,0.01,0.0,2,31,20,18,32,22,3
520,mlp,0.1,0.1,1,38,31,27,24,24,2
521,mlp,0.01,0.0,5,9,2,5,8,8,2
522,mlp,1e-05,0.2,3,23,43,27,7,39,5
523,mlp,1e-05,0.6,1,41,42,42,2,27,4
524,mlp,0.1,0.2,2,44,18,7,27,46,5
525,lstm,1e-05,0.9,4,32,40,31,23,28,2
526,mlp,0.1,0.8,5,7,9,47,45,37,5
527,mlp,0.001,0.9,4,11,6,18,42,16,3
528,lstm,0.0001,0.8,5,38,34,27,39,24,4
529,lstm,0.01,0.4,5,50,50,24,20,24,2
530,mlp,0.0001,0.9,5,49,40,49,27,45,4
531,lstm,0.1,0.4,5,13,30,17,9,23,3
532,mlp,0.1,0.9,3,34,4,49,12,11,4
533,mlp,1e-05,0.3,3,26,4,18,40,11,5
534,mlp,0.001,0.2,5,27,9,6,8,30,4
535,mlp,0.1,0.9,1,3,32,25,22,22,5
536,lstm,0.1,0.2,3,34,32,48,27,26,4
537,mlp,0.0001,0.2,3,36,34,17,44,46,4
538,mlp,0.1,0.0,5,4,34,39,25,12,2
