,model,learning_rate,dropout,n_hidden,hidden_1,hidden_2,hidden_3,hidden_4,hidden_5,lstm_layers
488,lstm,0.01,0.2,2,45,2,32,10,37,4
489,mlp,0.01,0.1,2,14,21,31,15,11,2
490,mlp,1e-05,0.8,5,49,19,23,17,34,3
491,mlp,0.1,0.0,5,18,25,36,30,31,2
492,mlp,0.001,0.9,2,42,21,10,5,48,5
493,mlp,0.01,0.8,2,29,41,45,21,9,2
494,lstm,0.01,0.0,1,5,13,20,23,29,3
495,mlp,1e-05,0.0,5,49,22,4,21,44,4
496,lstm,0.001,0.6,3,33,42,22,34,21,2
497,mlp,0.01,0.1,1,9,46,48,2,35,4
498,lstm,0.0001,0.6,1,12,26,12,5,36,4
499,lstm,0.01,0.9,3,31,35,18,18,2,2
500,lstm,1e-05,0.5,3,26,46,8,46,31,4
501,mlp,0.001,0.6,4,13,37,43,35,34,5
502,lstm,1e-05,0.7,4,21,35,43,31,9,3
503,lstm,0.0001,0.4,4,15,49,29,4,39,5
504,lstm,0.0001,0.8,1,31,28,49,49,22,5
505,lstm,0.01,0.8,5,43,9,12,5,23,4
506,mlp,0.0001,0.7,2,34,28,25,36,9,4
507,mlp,0.1,0.0,4,46,25,2,48,45,4
508,lstm,0.0001,0.4,2,9,5,17,41,9,5
509,mlp,0.001,0.0,5,26,21,15,15,14,3
510,mlp,0.001,0.3,3,29,31,44,23,33,2
511,mlp,0.1,0.7,5,5,15,40,38,28,4
512,lstm,1e-05,0.8,3,42,14,12,25,16,2
513,lstm,0.1,0.3,2,17,17,21,37,22,5
514,lstm,0.1,0.1,5,15,43,35,11,13,5
515,mlp,0.01,0.7,5,32,8,28,21,24,2
516,lstm,1e-05,0.8,2,16,8,45,12,24,2
517,lstm,0.0001,0.5,1,4,35,2,7,26,4
518,mlp,0.01,0.6,5,9,42,47,47,25,5
519,mlp,0.001,0.3,5,22,13,22,34,44,3
520,lstm,1e-05,0.1,4,29,37,36,27,34,2
521,mlp,0.0001,0.5,3,39,44,4,19,43,2
522,lstm,1e-05,0.6,1,26,20,29,29,50,4
523,mlp,1e-05,0.8,1,7,35,9,31,41,2
524,mlp,0.0001,0.1,5,5,38,8,47,15,4
525,mlp,0.1,0.1,1,8,32,8,45,47,5
526,lstm,0.1,0.3,4,25,39,48,8,20,2
527,lstm,0.0001,0.0,3,43,29,41,5,23,2
528,mlp,0.1,0.0,3,8,32,46,20,46,3
529,lstm,0.01,0.0,3,34,38,46,47,32,4
530,lstm,1e-05,0.9,1,33,36,24,35,44,3
531,mlp,0.01,0.6,4,48,24,28,41,29,2
532,mlp,1e-05,0.5,3,6,20,30,27,42,2
533,mlp,1e-05,0.1,5,36,28,50,47,6,3
534,lstm,0.01,0.0,3,19,40,13,33,32,4
535,mlp,0.1,0.2,2,9,14,39,48,24,3
536,lstm,0.001,0.4,5,42,3,13,33,8,2
537,lstm,0.1,0.1,4,42,32,21,31,46,2
538,mlp,1e-05,0.1,2,2,43,30,23,9,2
